mode,scenario,provider,model,idx,latency_ms,status,retries,completion_tokens,prompt_tokens,error
gateway,shared_prefix,groq,llama-3.1-8b-instant,0,413.5496250237338,200,0,8,70,
gateway,shared_prefix,groq,llama-3.1-8b-instant,1,537.3797499923967,200,0,34,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,2,488.2769170217216,200,0,46,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,3,553.1369589734823,200,0,55,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,4,503.1583340023644,200,0,7,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,5,534.6218749764375,200,0,22,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,6,402.5418749661185,200,0,40,71,
gateway,shared_prefix,groq,llama-3.1-8b-instant,7,560.5429999995977,200,0,42,74,
gateway,shared_prefix,groq,llama-3.1-8b-instant,8,561.4368330570869,200,0,43,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,9,607.0499579655007,200,0,60,73,
gateway,shared_prefix,groq,llama-3.1-8b-instant,10,503.73520801076666,200,0,49,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,11,357.31095797382295,200,0,29,71,
gateway,shared_prefix,groq,llama-3.1-8b-instant,12,528.0972910113633,200,0,60,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,13,564.8682079627179,200,0,42,70,
gateway,shared_prefix,groq,llama-3.1-8b-instant,14,564.0437909751199,200,0,39,68,
gateway,shared_prefix,groq,llama-3.1-8b-instant,15,175.58770801406354,200,0,8,70,
gateway,shared_prefix,groq,llama-3.1-8b-instant,16,192.62612500460818,200,0,34,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,17,214.9375409935601,200,0,54,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,18,253.15995898563415,200,0,56,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,19,158.71020895428956,200,0,14,72,
gateway,shared_prefix,groq,llama-3.1-8b-instant,20,213.17358303349465,200,0,27,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,21,213.4770829579793,200,0,33,71,
gateway,shared_prefix,groq,llama-3.1-8b-instant,22,230.6050000479445,200,0,47,74,
gateway,shared_prefix,groq,llama-3.1-8b-instant,23,247.5537499994971,200,0,45,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,24,206.81624999269843,200,0,31,73,
gateway,shared_prefix,groq,llama-3.1-8b-instant,25,227.49399999156594,200,0,45,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,26,174.33433304540813,200,0,35,71,
gateway,shared_prefix,groq,llama-3.1-8b-instant,27,173.526959028095,200,0,34,69,
gateway,shared_prefix,groq,llama-3.1-8b-instant,28,252.54979101009667,200,0,43,70,
gateway,shared_prefix,groq,llama-3.1-8b-instant,29,246.89475004561245,200,0,39,68,
gateway,shared_prefix,groq,llama-3.1-8b-instant,30,1568.3620000490919,503,1,0,0,"{""error"":{""message"":""worker groq-llama-3.1-8b circuit is open"",""type"":""circuit_open"",""code"":null}}"
gateway,shared_prefix,groq,llama-3.1-8b-instant,31,1140.1782920002006,503,1,0,0,"{""error"":{""message"":""worker groq-llama-3.1-8b circuit is open"",""type"":""circuit_open"",""code"":null}}"
gateway,shared_prefix,groq,llama-3.1-8b-instant,32,1248.1649580295198,503,1,0,0,"{""error"":{""message"":""worker groq-llama-3.1-8b circuit is open"",""type"":""circuit_open"",""code"":null}}"
gateway,shared_prefix,groq,llama-3.1-8b-instant,33,1191.5031250100583,503,1,0,0,"{""error"":{""message"":""worker groq-llama-3.1-8b circuit is open"",""type"":""circuit_open"",""code"":null}}"
gateway,shared_prefix,groq,llama-3.1-8b-instant,34,1515.2332079596817,503,1,0,0,"{""error"":{""message"":""worker groq-llama-3.1-8b circuit is open"",""type"":""circuit_open"",""code"":null}}"
